epsilon_L,epsilon_R,lambda,TUR,I,I_var,J_QH,P,eff,sigma,omega,u_intra,u_inter,V_B,gammaL,gammaR,T_L,T_R
77.777778,78.777778,0.636364,42.965325,4e-06,4e-06,0.000398,0.000193,0.484039,0.000165,0.105,500,300,50,0.1,0.105,10,1
100.0,101.0,0.636364,62.967268,0.0,0.0,5.2e-05,2.1e-05,0.398344,2.6e-05,0.105,500,300,50,0.1,0.105,10,1
-100.0,-99.0,0.727273,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-77.777778,-76.777778,0.727273,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-55.555556,-54.555556,0.727273,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-33.333333,-32.333333,0.727273,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-11.111111,-10.111111,0.727273,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
11.111111,12.111111,0.727273,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
33.333333,34.333333,0.727273,3.31357,0.000369,0.000412,0.021703,0.018439,0.849612,0.001094,0.105,500,300,50,0.1,0.105,10,1
55.555556,56.555556,0.727273,22.941233,4.3e-05,4.3e-05,0.00346,0.002134,0.616829,0.00098,0.105,500,300,50,0.1,0.105,10,1
77.777778,78.777778,0.727273,42.951246,5e-06,5e-06,0.000478,0.000231,0.484111,0.000199,0.105,500,300,50,0.1,0.105,10,1
100.0,101.0,0.727273,62.95339,1e-06,1e-06,6.3e-05,2.5e-05,0.398393,3.2e-05,0.105,500,300,50,0.1,0.105,10,1
-100.0,-99.0,0.818182,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-77.777778,-76.777778,0.818182,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-55.555556,-54.555556,0.818182,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-33.333333,-32.333333,0.818182,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-11.111111,-10.111111,0.818182,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
11.111111,12.111111,0.818182,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
33.333333,34.333333,0.818182,3.30492,0.000428,0.000478,0.025167,0.021386,0.849776,0.001264,0.105,500,300,50,0.1,0.105,10,1
55.555556,56.555556,0.818182,22.930224,5e-05,5e-05,0.004015,0.002477,0.616916,0.001136,0.105,500,300,50,0.1,0.105,10,1
77.777778,78.777778,0.818182,42.940843,5e-06,5e-06,0.000555,0.000269,0.484165,0.000231,0.105,500,300,50,0.1,0.105,10,1
100.0,101.0,0.818182,62.943118,1e-06,1e-06,7.3e-05,2.9e-05,0.398429,3.7e-05,0.105,500,300,50,0.1,0.105,10,1
-100.0,-99.0,0.909091,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-77.777778,-76.777778,0.909091,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-55.555556,-54.555556,0.909091,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-33.333333,-32.333333,0.909091,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-11.111111,-10.111111,0.909091,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
11.111111,12.111111,0.909091,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
33.333333,34.333333,0.909091,3.298091,0.000483,0.00054,0.028409,0.024145,0.84991,0.001423,0.105,500,300,50,0.1,0.105,10,1
55.555556,56.555556,0.909091,22.921448,5.6e-05,5.6e-05,0.004534,0.002797,0.616986,0.001283,0.105,500,300,50,0.1,0.105,10,1
77.777778,78.777778,0.909091,42.932385,6e-06,6e-06,0.000626,0.000303,0.484208,0.00026,0.105,500,300,50,0.1,0.105,10,1
100.0,101.0,0.909091,62.934729,1e-06,1e-06,8.3e-05,3.3e-05,0.398459,4.1e-05,0.105,500,300,50,0.1,0.105,10,1
-100.0,-99.0,1.0,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-77.777778,-76.777778,1.0,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-55.555556,-54.555556,1.0,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-33.333333,-32.333333,1.0,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-11.111111,-10.111111,1.0,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
11.111111,12.111111,1.0,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
33.333333,34.333333,1.0,3.292144,0.000534,0.000598,0.0314,0.026691,0.850032,0.001569,0.105,500,300,50,0.1,0.105,10,1
55.555556,56.555556,1.0,22.913687,6.2e-05,6.2e-05,0.005014,0.003094,0.617051,0.001419,0.105,500,300,50,0.1,0.105,10,1
